id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1.50927E+18,1.50927E+18,1.64867E+12,3/30/2022 22:35,200,,"Following FDA &amp; CDC recommendations, KDHE has authorized COVID-19 vaccine providers to offer a 2nd booster dose of either Pfizer or Moderna for individuals aged 50+ &amp; for certain immunocompromised individuals. Learn more:  https://t.co/OJVAI4PKgp.  https://t.co/qvZ22nkD4W",en,[],[],70775228,70775228,KDHE,KDHE,3,22,https://twitter.com/KDHE/status/1509268178450407425,['http://kansasvaccine.gov/CivicAlerts.aspx?AID=41'],['https://pbs.twimg.com/media/FPH_PQ1XMAEtr_-.jpg'],1,https://pbs.twimg.com/media/FPH_PQ1XMAEtr_-.jpg,FALSE,0,1,1,,pfizer vaccine,,,,,,,[],,,,
1.50927E+18,1.50927E+18,1.64867E+12,3/30/2022 22:34,200,,"Which COVID-19 vaccine is best? Pfizer, Oxford, and more  https://t.co/ugPXvbIYbB via @mnt",en,[],[],9.75506E+17,9.75506E+17,TeresaKAlley,Teresa Alley,3,22,https://twitter.com/TeresaKAlley/status/1509267798916218885,['https://www.medicalnewstoday.com/articles/which-covid-vaccine-is-best?utm_medium=social&utm_source=twitter&utm_campaign=social-sharebar-referred-desktop'],[],0,,FALSE,0,0,0,,pfizer vaccine,,,,,,,[],,,,
1.50927E+18,1.50927E+18,1.64867E+12,3/30/2022 22:33,200,,@disclosetv Does Pfizer have a vaccine for dementia?,en,[],[],1.48524E+18,1.48524E+18,the_fat_checker,ShitTweeting,3,22,https://twitter.com/the_fat_checker/status/1509267707119960064,[],[],0,,FALSE,0,0,0,,pfizer vaccine,,,,,,,"[{'screen_name': 'disclosetv', 'name': 'Disclose.tv', 'id': '15392486'}]",,,,
1.50927E+18,1.50927E+18,1.64867E+12,3/30/2022 22:32,200,,"Pfizer and Moderna Boosters Help Protect Americans With J.&amp;J. Shots, C.D.C. Says: The C.D.C. now recommends that all adults who received one or two doses of the Johnson &amp; Johnson vaccine get a booster dose of an mRNA vaccine.  https://t.co/K30AvuSRcX",en,[],[],1310123689,1310123689,SophiaDevetzi,Sophia Devetzi,3,22,https://twitter.com/SophiaDevetzi/status/1509267356165451776,['https://bit.ly/38eDKzj'],[],0,,FALSE,0,0,0,,pfizer vaccine,,,,,,,[],,,,
1.50927E+18,1.50927E+18,1.64867E+12,3/30/2022 22:32,200,,Wow! What are the chances that #aphasia is a listed side effect of the #Pfizer Vaccine.  So many lives and careers have been ruined &amp; ended due to these pointless vaccinations   https://t.co/HrylFp0zl9,en,"['aphasia', 'pfizer']",[],1.33093E+18,1.33093E+18,GigaChaddo,GIGA CHADDO ™,3,22,https://twitter.com/GigaChaddo/status/1509267327564632071,['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8223021/'],[],0,,FALSE,2,1,1,https://twitter.com/GigaChaddo/status/1509251771843100689,pfizer vaccine,,,,,,,[],,,,
1.50927E+18,1.50925E+18,1.64867E+12,3/30/2022 22:32,200,,@PatiKRoll11 @Out5p0ken All of my covid vaccines have been pfizer my next booster will be pfizer,en,[],[],1.37983E+18,1.37983E+18,DannyKeaton4,Danny Keaton,3,22,https://twitter.com/DannyKeaton4/status/1509267256940892160,[],[],0,,FALSE,0,0,0,,pfizer vaccine,,,,,,,"[{'screen_name': 'PatiKRoll11', 'name': 'Pati', 'id': '2711718543'}, {'screen_name': 'Out5p0ken', 'name': 'Outspoken™️', 'id': '3930472251'}]",,,,
1.50927E+18,1.50927E+18,1.64867E+12,3/30/2022 22:31,200,,@cnnbrk  ur cdc givimg wrong information no wonder ur num ers are rising one shoy or vaccine lasts at thw most 8 months as per Pfizer science and WHO at 8 months u.go down to about 32% immunity with a booster brings u up to 72%..thats wht a booster is only half shot,en,[],[],1.50379E+18,1.50379E+18,gor59404323,MCrenos,3,22,https://twitter.com/gor59404323/status/1509267008092876803,[],[],0,,FALSE,0,1,0,,pfizer vaccine,,,,,,,[],,,,
1.50927E+18,1.50927E+18,1.64867E+12,3/30/2022 22:30,200,,I was again reminded that Pfizer’s brand name for their COVID vaccine is Comirnaty and I’m upset again,en,[],[],1.48182E+18,1.48182E+18,CatDocMD,Cat Doc,3,22,https://twitter.com/CatDocMD/status/1509266792073596935,[],[],0,,FALSE,7,1,0,,pfizer vaccine,,,,,,,[],,,,
1.50927E+18,1.50927E+18,1.64867E+12,3/30/2022 22:30,200,,"President Joe Biden called on Congress to pass billions of dollars in additional funding to fight the COVID-19 pandemic on Wednesday, as he received a second booster dose of the Pfizer vaccine.  https://t.co/rcgFMKr6vs",en,[],[],20180101,20180101,wbalradio,WBAL NewsRadio 1090 and FM 101.5,3,22,https://twitter.com/wbalradio/status/1509266762273103878,['https://www.wbal.com/article/560154/3/biden-receives-2nd-booster-presses-congress-on-virus-funds'],[],0,,FALSE,1,0,0,,pfizer vaccine,,,,,,,[],,,,
1.50927E+18,1.50927E+18,1.64867E+12,3/30/2022 22:30,200,,President Joe Biden called on Congress to pass billions of dollars in funding to fight the COVID-19 pandemic shortly after receiving a second booster dose of the Pfizer vaccine.  https://t.co/zxx8M5DLE1,en,[],[],84377290,84377290,KAPPKVEW,KAPP-KVEW,3,22,https://twitter.com/KAPPKVEW/status/1509266761669136388,['https://www.yaktrinews.com/i/biden-administration-launches-covid-website-for-1-stop-info/'],[],0,,FALSE,1,0,0,,pfizer vaccine,,,,,,,[],,,,
